seed,range_idx,fdr,tpr,fpr,shd,nnz
0,7,0.2,1.0,0.029411764705882353,5,25
1,7,0.25925925925925924,1.0,0.041176470588235294,7,27
2,7,0.3333333333333333,1.0,0.058823529411764705,10,30
3,7,0.09090909090909091,1.0,0.011764705882352941,2,22
4,7,0.32142857142857145,0.95,0.052941176470588235,10,28
5,7,0.2,1.0,0.029411764705882353,5,25
6,7,0.20833333333333334,0.95,0.029411764705882353,5,24
7,7,0.2857142857142857,1.0,0.047058823529411764,8,28
8,7,0.047619047619047616,1.0,0.0058823529411764705,1,21
9,7,0.25925925925925924,1.0,0.041176470588235294,7,27
